O_F,Pc,T_c,rho_c,Cp_c,gamma_c,a_c,mu_c,k_c,Pr_c,Cstar,CF,Isp
3,1689216.2,2427.69,1.8108,1983.6,1.2476,1078.8,9.0159e-05,0.46565,0.3841,1466,0.6962,1020.6
3,1834006.16,2428.22,1.9657,1978.8,1.2481,1079.1,9.0171e-05,0.46231,0.386,1466,0.6963,1020.7
3,1978796.12,2428.68,2.1206,1974.6,1.2485,1079.4,9.0182e-05,0.45933,0.3877,1466,0.6964,1020.8
3,2123586.08,2429.1,2.2754,1970.7,1.2488,1079.6,9.0192e-05,0.45664,0.3892,1465.9,0.6964,1020.9
3,2268376.04,2429.48,2.4303,1967.3,1.2492,1079.8,9.02e-05,0.45421,0.3907,1465.9,0.6965,1021
3,2413166,2429.83,2.5851,1964.1,1.2495,1080,9.0209e-05,0.452,0.392,1465.9,0.6965,1021.1
3,2557955.96,2430.15,2.7399,1961.2,1.2498,1080.2,9.0216e-05,0.44997,0.3932,1465.9,0.6966,1021.1
3,2702745.92,2430.44,2.8947,1958.6,1.25,1080.3,9.0223e-05,0.4481,0.3943,1465.9,0.6966,1021.2
3,2847535.88,2430.72,3.0495,1956.1,1.2502,1080.5,9.0229e-05,0.44637,0.3954,1465.9,0.6966,1021.2
3,2992325.84,2430.97,3.2043,1953.8,1.2505,1080.6,9.0235e-05,0.44477,0.3964,1465.9,0.6967,1021.3
3,3137115.8,2431.2,3.3591,1951.7,1.2507,1080.7,9.0241e-05,0.44327,0.3973,1465.9,0.6967,1021.3
3,3281905.76,2431.42,3.5139,1949.7,1.2509,1080.9,9.0246e-05,0.44187,0.3982,1465.9,0.6967,1021.4
3,3426695.72,2431.63,3.6687,1947.9,1.251,1081,9.025e-05,0.44056,0.399,1465.9,0.6968,1021.4
3,3571485.68,2431.82,3.8235,1946.1,1.2512,1081.1,9.0255e-05,0.43933,0.3998,1465.9,0.6968,1021.4
3.25,96526.64,2477.54,0.104,2467.2,1.2067,1058.3,9.0641e-05,0.76983,0.2905,1476.7,0.6868,1014.2
3.25,241316.6,2499.18,0.25823,2267.5,1.2188,1067.2,9.114e-05,0.64437,0.3207,1477.3,0.6897,1018.9
3.25,386106.56,2508.04,0.41202,2187.9,1.2242,1071.1,9.1343e-05,0.59357,0.3367,1477.5,0.6909,1020.8
3.25,530896.52,2513.27,0.5656,2141.6,1.2276,1073.4,9.1463e-05,0.56378,0.3474,1477.6,0.6916,1021.8
3.25,675686.48,2516.84,0.71905,2110.2,1.23,1075.1,9.1545e-05,0.5435,0.3554,1477.6,0.6921,1022.6
3.25,820476.44,2519.49,0.87241,2087,1.2318,1076.3,9.1606e-05,0.5285,0.3617,1477.6,0.6924,1023.1
3.25,965266.4,2521.55,1.0257,2069,1.2332,1077.3,9.1653e-05,0.51681,0.3669,1477.6,0.6927,1023.5
3.25,1110056.36,2523.23,1.1789,2054.5,1.2344,1078.1,9.1692e-05,0.50735,0.3713,1477.7,0.6929,1023.9
3.25,1254846.32,2524.62,1.3321,2042.5,1.2353,1078.7,9.1724e-05,0.49949,0.3751,1477.7,0.6931,1024.1
3.25,1399636.28,2525.8,1.4853,2032.3,1.2362,1079.3,9.1751e-05,0.49282,0.3784,1477.7,0.6932,1024.4
3.25,1544426.24,2526.83,1.6384,2023.4,1.2369,1079.8,9.1774e-05,0.48706,0.3813,1477.7,0.6934,1024.6
3.25,1689216.2,2527.72,1.7915,2015.7,1.2376,1080.2,9.1795e-05,0.48202,0.3839,1477.7,0.6935,1024.7
3.25,1834006.16,2528.52,1.9446,2008.9,1.2382,1080.6,9.1813e-05,0.47755,0.3862,1477.7,0.6936,1024.9
3.25,1978796.12,2529.22,2.0977,2002.9,1.2387,1081,9.1829e-05,0.47357,0.3884,1477.7,0.6937,1025
3.25,2123586.08,2529.86,2.2507,1997.4,1.2391,1081.3,9.1844e-05,0.46998,0.3903,1477.7,0.6938,1025.2
3.25,2268376.04,2530.44,2.4038,1992.4,1.2396,1081.6,9.1857e-05,0.46673,0.3921,1477.7,0.6938,1025.3
3.25,2413166,2530.97,2.5568,1987.9,1.24,1081.8,9.1869e-05,0.46375,0.3938,1477.7,0.6939,1025.4
3.25,2557955.96,2531.46,2.7098,1983.8,1.2403,1082.1,9.188e-05,0.46103,0.3954,1477.7,0.694,1025.5
3.25,2702745.92,2531.91,2.8628,1980,1.2407,1082.3,9.189e-05,0.45852,0.3968,1477.7,0.694,1025.6
3.25,2847535.88,2532.32,3.0157,1976.4,1.241,1082.5,9.19e-05,0.45619,0.3982,1477.7,0.6941,1025.6
3.25,2992325.84,2532.71,3.1687,1973.2,1.2413,1082.7,9.1909e-05,0.45403,0.3994,1477.7,0.6941,1025.7
3.25,3137115.8,2533.07,3.3217,1970.1,1.2415,1082.8,9.1917e-05,0.45201,0.4006,1477.7,0.6942,1025.8
3.25,3281905.76,2533.41,3.4746,1967.2,1.2418,1083,9.1925e-05,0.45013,0.4017,1477.7,0.6942,1025.8
3.25,3426695.72,2533.72,3.6275,1964.6,1.242,1083.2,9.1932e-05,0.44836,0.4028,1477.7,0.6943,1025.9
3.25,3571485.68,2534.02,3.7805,1962,1.2423,1083.3,9.1939e-05,0.44669,0.4038,1477.7,0.6943,1026
3.5,96526.64,2549.05,0.10369,2660.9,1.1927,1053.7,9.1698e-05,0.84228,0.2897,1485.1,0.6823,1013.3
3.5,241316.6,2577.45,0.25699,2401.9,1.2056,1064,9.234e-05,0.69706,0.3182,1486.3,0.6858,1019.4
3.5,386106.56,2589.41,0.40969,2296.8,1.2117,1068.6,9.261e-05,0.63682,0.334,1486.7,0.6873,1021.9
3.5,530896.52,2596.56,0.56211,2235.1,1.2156,1071.5,9.2771e-05,0.60104,0.345,1486.9,0.6882,1023.3
3.5,675686.48,2601.49,0.71436,2193,1.2183,1073.5,9.2882e-05,0.57647,0.3533,1487,0.6888,1024.3
3.5,820476.44,2605.17,0.86648,2161.9,1.2205,1075,9.2965e-05,0.55819,0.3601,1487.1,0.6893,1025.1
3.5,965266.4,2608.06,1.0185,2137.6,1.2222,1076.2,9.303e-05,0.54387,0.3656,1487.2,0.6897,1025.6
3.5,1110056.36,2610.42,1.1705,2117.9,1.2236,1077.2,9.3083e-05,0.53224,0.3704,1487.2,0.6899,1026.1
3.5,1254846.32,2612.38,1.3224,2101.5,1.2248,1078.1,9.3127e-05,0.52254,0.3745,1487.2,0.6902,1026.5
3.5,1399636.28,2614.06,1.4742,2087.6,1.2258,1078.8,9.3165e-05,0.51428,0.3782,1487.3,0.6904,1026.8
3.5,1544426.24,2615.51,1.626,2075.6,1.2267,1079.4,9.3197e-05,0.50713,0.3814,1487.3,0.6906,1027.1
3.5,1689216.2,2616.78,1.7778,2065.1,1.2275,1080,9.3226e-05,0.50086,0.3844,1487.3,0.6907,1027.3
3.5,1834006.16,2617.92,1.9295,2055.8,1.2282,1080.5,9.3251e-05,0.49531,0.387,1487.3,0.6909,1027.6
3.5,1978796.12,2618.93,2.0812,2047.5,1.2288,1080.9,9.3274e-05,0.49033,0.3895,1487.3,0.691,1027.8
3.5,2123586.08,2619.84,2.2329,2040,1.2294,1081.3,9.3295e-05,0.48585,0.3917,1487.4,0.6911,1027.9
3.5,2268376.04,2620.67,2.3845,2033.2,1.23,1081.7,9.3313e-05,0.48177,0.3938,1487.4,0.6912,1028.1
3.5,2413166,2621.43,2.5362,2027,1.2304,1082,9.333e-05,0.47805,0.3957,1487.4,0.6913,1028.2
3.5,2557955.96,2622.13,2.6878,2021.3,1.2309,1082.3,9.3346e-05,0.47463,0.3975,1487.4,0.6914,1028.4
3.5,2702745.92,2622.78,2.8394,2016,1.2313,1082.6,9.3361e-05,0.47147,0.3992,1487.4,0.6915,1028.5
3.5,2847535.88,2623.37,2.991,2011.1,1.2317,1082.9,9.3374e-05,0.46854,0.4008,1487.4,0.6916,1028.6
3.5,2992325.84,2623.93,3.1425,2006.6,1.2321,1083.1,9.3386e-05,0.46582,0.4023,1487.4,0.6916,1028.7
3.5,3137115.8,2624.45,3.2941,2002.4,1.2324,1083.4,9.3398e-05,0.46328,0.4037,1487.4,0.6917,1028.8
3.5,3281905.76,2624.94,3.4456,1998.5,1.2327,1083.6,9.3409e-05,0.4609,0.405,1487.4,0.6917,1028.9
3.5,3426695.72,2625.39,3.5971,1994.8,1.233,1083.8,9.3419e-05,0.45867,0.4063,1487.4,0.6918,1029
3.5,3571485.68,2625.82,3.7486,1991.3,1.2333,1084,9.3429e-05,0.45656,0.4075,1487.4,0.6919,1029.1
3.75,96526.64,2608.2,0.10368,2903.3,1.1794,1047.9,9.2537e-05,0.90612,0.2965,1491.4,0.6777,1010.8
3.75,241316.6,2643.76,0.25648,2575.5,1.1927,1059.4,9.3328e-05,0.74606,0.3222,1493.4,0.6818,1018.2
3.75,386106.56,2659.15,0.40851,2440.2,1.1993,1064.7,9.367e-05,0.6782,0.337,1494.1,0.6836,1021.4
3.75,530896.52,2668.49,0.56018,2360,1.2035,1068,9.3877e-05,0.63741,0.3476,1494.5,0.6847,1023.3
3.75,675686.48,2674.99,0.71161,2305,1.2066,1070.4,9.4021e-05,0.60917,0.3558,1494.7,0.6855,1024.6
3.75,820476.44,2679.89,0.86288,2264.1,1.209,1072.2,9.4129e-05,0.58803,0.3624,1494.9,0.6861,1025.6
3.75,965266.4,2683.75,1.014,2232.1,1.211,1073.7,9.4215e-05,0.57139,0.368,1495,0.6865,1026.3
3.75,1110056.36,2686.91,1.1651,2206.1,1.2126,1074.9,9.4284e-05,0.55781,0.3729,1495.1,0.6869,1027
3.75,1254846.32,2689.56,1.316,2184.4,1.214,1075.9,9.4343e-05,0.54645,0.3771,1495.1,0.6872,1027.5
3.75,1399636.28,2691.82,1.4669,2166,1.2152,1076.8,9.4393e-05,0.53675,0.3809,1495.2,0.6875,1027.9
3.75,1544426.24,2693.79,1.6177,2150,1.2162,1077.5,9.4437e-05,0.52833,0.3843,1495.2,0.6877,1028.3
3.75,1689216.2,2695.53,1.7685,2136,1.2172,1078.2,9.4475e-05,0.52093,0.3874,1495.3,0.6879,1028.6
3.75,1834006.16,2697.07,1.9193,2123.6,1.218,1078.8,9.4509e-05,0.51436,0.3902,1495.3,0.6881,1028.9
3.75,1978796.12,2698.45,2.07,2112.4,1.2188,1079.4,9.4539e-05,0.50846,0.3928,1495.3,0.6883,1029.2
3.75,2123586.08,2699.7,2.2206,2102.4,1.2195,1079.9,9.4567e-05,0.50314,0.3952,1495.4,0.6884,1029.4
3.75,2268376.04,2700.84,2.3713,2093.3,1.2201,1080.4,9.4592e-05,0.49829,0.3974,1495.4,0.6885,1029.6
3.75,2413166,2701.89,2.5219,2085,1.2207,1080.8,9.4615e-05,0.49386,0.3995,1495.4,0.6887,1029.8
3.75,2557955.96,2702.85,2.6724,2077.4,1.2212,1081.2,9.4636e-05,0.48978,0.4014,1495.4,0.6888,1030
3.75,2702745.92,2703.74,2.823,2070.3,1.2217,1081.5,9.4656e-05,0.48602,0.4032,1495.4,0.6889,1030.2
3.75,2847535.88,2704.56,2.9735,2063.8,1.2222,1081.9,9.4674e-05,0.48252,0.4049,1495.5,0.689,1030.3
3.75,2992325.84,2705.33,3.124,2057.7,1.2227,1082.2,9.4691e-05,0.47926,0.4066,1495.5,0.6891,1030.5
3.75,3137115.8,2706.05,3.2745,2052,1.2231,1082.5,9.4707e-05,0.47622,0.4081,1495.5,0.6892,1030.6
3.75,3281905.76,2706.72,3.425,2046.7,1.2235,1082.8,9.4722e-05,0.47337,0.4095,1495.5,0.6892,1030.7
3.75,3426695.72,2707.35,3.5755,2041.7,1.2238,1083,9.4736e-05,0.47069,0.4109,1495.5,0.6893,1030.9
3.75,3571485.68,2707.95,3.7259,2037,1.2242,1083.3,9.4749e-05,0.46816,0.4123,1495.5,0.6894,1031
4,96526.64,2655.59,0.10393,3201.4,1.1671,1041.1,9.3171e-05,0.96088,0.3104,1495.6,0.6731,1006.8
4,241316.6,2698.5,0.25662,2797.2,1.1802,1053.5,9.4115e-05,0.79037,0.3331,1498.8,0.6776,1015.6
4,386106.56,2717.57,0.40836,2626.9,1.187,1059.4,9.4533e-05,0.7167,0.3465,1499.9,0.6797,1019.5
4,530896.52,2729.32,0.55963,2524.8,1.1914,1063.1,9.479e-05,0.67192,0.3562,1500.5,0.681,1021.8
4,675686.48,2737.59,0.71059,2454.3,1.1947,1065.9,9.4971e-05,0.64068,0.3638,1500.8,0.6819,1023.5
4,820476.44,2743.86,0.86134,2401.6,1.1973,1068,9.5108e-05,0.61715,0.3701,1501.1,0.6826,1024.7
4,965266.4,2748.84,1.0119,2360.2,1.1995,1069.7,9.5216e-05,0.59853,0.3755,1501.3,0.6832,1025.7
4,1110056.36,2752.94,1.1624,2326.4,1.2013,1071.1,9.5306e-05,0.58329,0.3801,1501.4,0.6837,1026.5
4,1254846.32,2756.39,1.3127,2298.2,1.2028,1072.3,9.5381e-05,0.57049,0.3842,1501.6,0.6841,1027.2
4,1399636.28,2759.35,1.463,2274.1,1.2042,1073.3,9.5445e-05,0.55953,0.3879,1501.7,0.6844,1027.7
4,1544426.24,2761.93,1.6132,2253.2,1.2054,1074.3,9.5502e-05,0.54999,0.3913,1501.8,0.6847,1028.2
4,1689216.2,2764.21,1.7633,2234.9,1.2065,1075.1,9.5551e-05,0.54159,0.3943,1501.8,0.6849,1028.7
4,1834006.16,2766.24,1.9133,2218.6,1.2074,1075.8,9.5596e-05,0.53411,0.3971,1501.9,0.6852,1029
4,1978796.12,2768.07,2.0633,2204,1.2083,1076.5,9.5635e-05,0.52739,0.3997,1501.9,0.6854,1029.4
4,2123586.08,2769.73,2.2133,2190.8,1.2091,1077.1,9.5672e-05,0.52131,0.4021,1502,0.6856,1029.7
4,2268376.04,2771.24,2.3632,2178.8,1.2098,1077.6,9.5704e-05,0.51577,0.4043,1502,0.6857,1030
4,2413166,2772.63,2.5131,2167.8,1.2105,1078.1,9.5735e-05,0.51069,0.4064,1502.1,0.6859,1030.3
4,2557955.96,2773.91,2.6629,2157.7,1.2112,1078.6,9.5763e-05,0.50601,0.4083,1502.1,0.686,1030.5
4,2702745.92,2775.09,2.8127,2148.4,1.2118,1079.1,9.5788e-05,0.50168,0.4102,1502.1,0.6862,1030.7
4,2847535.88,2776.19,2.9625,2139.7,1.2123,1079.5,9.5812e-05,0.49766,0.412,1502.2,0.6863,1030.9
4,2992325.84,2777.22,3.1122,2131.7,1.2128,1079.9,9.5835e-05,0.49392,0.4136,1502.2,0.6864,1031.1
4,3137115.8,2778.18,3.262,2124.2,1.2133,1080.2,9.5856e-05,0.49041,0.4152,1502.2,0.6865,1031.3
4,3281905.76,2779.09,3.4117,2117.1,1.2138,1080.6,9.5875e-05,0.48712,0.4167,1502.2,0.6866,1031.5
4,3426695.72,2779.94,3.5613,2110.5,1.2142,1080.9,9.5894e-05,0.48402,0.4181,1502.3,0.6867,1031.6
4,3571485.68,2780.74,3.711,2104.3,1.2146,1081.2,9.5911e-05,0.48111,0.4195,1502.3,0.6868,1031.8
4.25,96526.64,2691.87,0.10443,3550.2,1.1562,1033.8,9.3613e-05,1.00799,0.3297,1497.9,0.6685,1001.4
4.25,241316.6,2741.92,0.25738,3070.2,1.1685,1046.7,9.4705e-05,0.83063,0.3501,1502.4,0.6733,1011.5
4.25,386106.56,2764.79,0.40917,2862.6,1.1751,1053,9.5202e-05,0.75269,0.3621,1504,0.6756,1016.1
4.25,530896.52,2779.09,0.56038,2736.4,1.1796,1057.1,9.5512e-05,0.70484,0.3708,1504.9,0.6771,1018.9
4.25,675686.48,2789.28,0.7112,2648.4,1.1829,1060.1,9.5733e-05,0.67121,0.3777,1505.5,0.6781,1021
4.25,820476.44,2797.06,0.86175,2582.1,1.1856,1062.5,9.5901e-05,0.64573,0.3835,1506,0.679,1022.5
4.25,965266.4,2803.29,1.0121,2529.7,1.1879,1064.4,9.6036e-05,0.62549,0.3884,1506.3,0.6796,1023.7
4.25,1110056.36,2808.43,1.1623,2486.8,1.1898,1066,9.6147e-05,0.60884,0.3927,1506.5,0.6802,1024.7
4.25,1254846.32,2812.79,1.3123,2450.8,1.1914,1067.4,9.6241e-05,0.59482,0.3965,1506.7,0.6806,1025.5
4.25,1399636.28,2816.55,1.4622,2420,1.1929,1068.6,9.6322e-05,0.58277,0.4,1506.9,0.681,1026.2
4.25,1544426.24,2819.84,1.612,2393.1,1.1942,1069.6,9.6393e-05,0.57226,0.4031,1507,0.6814,1026.9
4.25,1689216.2,2822.75,1.7618,2369.5,1.1954,1070.6,9.6456e-05,0.56298,0.406,1507.2,0.6817,1027.4
4.25,1834006.16,2825.36,1.9114,2348.5,1.1964,1071.4,9.6512e-05,0.55471,0.4086,1507.3,0.682,1027.9
4.25,1978796.12,2827.71,2.061,2329.6,1.1974,1072.2,9.6563e-05,0.54725,0.4111,1507.3,0.6822,1028.4
4.25,2123586.08,2829.84,2.2105,2312.5,1.1983,1072.9,9.6609e-05,0.5405,0.4133,1507.4,0.6825,1028.8
4.25,2268376.04,2831.79,2.36,2297,1.1991,1073.6,9.6651e-05,0.53433,0.4155,1507.5,0.6827,1029.1
4.25,2413166,2833.59,2.5094,2282.7,1.1999,1074.2,9.669e-05,0.52867,0.4175,1507.6,0.6829,1029.5
4.25,2557955.96,2835.25,2.6588,2269.6,1.2006,1074.7,9.6725e-05,0.52345,0.4194,1507.6,0.6831,1029.8
4.25,2702745.92,2836.79,2.8081,2257.5,1.2013,1075.3,9.6759e-05,0.51862,0.4212,1507.7,0.6832,1030.1
4.25,2847535.88,2838.22,2.9574,2246.2,1.2019,1075.7,9.6789e-05,0.51412,0.4229,1507.7,0.6834,1030.3
4.25,2992325.84,2839.56,3.1067,2235.7,1.2025,1076.2,9.6818e-05,0.50992,0.4245,1507.8,0.6835,1030.6
4.25,3137115.8,2840.81,3.2559,2225.8,1.203,1076.6,9.6845e-05,0.50599,0.426,1507.8,0.6837,1030.8
4.25,3281905.76,2842,3.4051,2216.6,1.2036,1077,9.6871e-05,0.5023,0.4275,1507.9,0.6838,1031
4.25,3426695.72,2843.11,3.5543,2208,1.2041,1077.4,9.6895e-05,0.49882,0.4289,1507.9,0.6839,1031.3
4.25,3571485.68,2844.16,3.7034,2199.8,1.2045,1077.8,9.6917e-05,0.49554,0.4302,1507.9,0.684,1031.4
4.5,96526.64,2718.01,0.10513,3927,1.1472,1026.3,9.3881e-05,1.0491,0.3514,1498.2,0.6642,995.1
4.5,241316.6,2774.54,0.25869,3385,1.1581,1039.4,9.5108e-05,0.86797,0.3709,1504.2,0.6689,1006.1
4.5,386106.56,2801.04,0.41088,3143.6,1.1642,1045.9,9.5681e-05,0.78718,0.3821,1506.6,0.6713,1011.3
4.5,530896.52,2817.89,0.56237,2994.3,1.1685,1050.3,9.6044e-05,0.73709,0.3902,1507.9,0.6729,1014.6
4.5,675686.48,2830.02,0.71338,2888.8,1.1717,1053.5,9.6305e-05,0.70164,0.3965,1508.8,0.674,1017
4.5,820476.44,2839.38,0.86406,2808.6,1.1743,1056,9.6507e-05,0.67464,0.4018,1509.4,0.675,1018.8
4.5,965266.4,2846.92,1.0145,2744.7,1.1766,1058.1,9.6669e-05,0.65307,0.4063,1509.9,0.6757,1020.3
4.5,1110056.36,2853.2,1.1647,2692,1.1785,1059.8,9.6803e-05,0.63527,0.4102,1510.3,0.6763,1021.5
4.5,1254846.32,2858.54,1.3147,2647.6,1.1801,1061.3,9.6918e-05,0.62022,0.4137,1510.6,0.6769,1022.5
4.5,1399636.28,2863.17,1.4646,2609.3,1.1816,1062.6,9.7017e-05,0.60726,0.4169,1510.9,0.6774,1023.4
4.5,1544426.24,2867.24,1.6143,2575.9,1.183,1063.8,9.7104e-05,0.59592,0.4197,1511.1,0.6778,1024.2
4.5,1689216.2,2870.85,1.764,2546.4,1.1842,1064.9,9.7182e-05,0.58588,0.4224,1511.3,0.6781,1024.8
4.5,1834006.16,2874.1,1.9135,2520,1.1853,1065.8,9.7251e-05,0.5769,0.4248,1511.4,0.6785,1025.5
4.5,1978796.12,2877.04,2.063,2496.3,1.1863,1066.7,9.7314e-05,0.5688,0.4271,1511.6,0.6788,1026
4.5,2123586.08,2879.72,2.2124,2474.7,1.1872,1067.5,9.7372e-05,0.56145,0.4292,1511.7,0.6791,1026.5
4.5,2268376.04,2882.17,2.3617,2455,1.1881,1068.3,9.7424e-05,0.55473,0.4312,1511.8,0.6793,1027
4.5,2413166,2884.43,2.5109,2436.9,1.1889,1068.9,9.7473e-05,0.54854,0.433,1511.9,0.6795,1027.4
4.5,2557955.96,2886.53,2.6601,2420.3,1.1897,1069.6,9.7517e-05,0.54283,0.4348,1512,0.6798,1027.8
4.5,2702745.92,2888.47,2.8092,2404.8,1.1904,1070.2,9.7559e-05,0.53754,0.4365,1512.1,0.68,1028.2
4.5,2847535.88,2890.29,2.9583,2390.4,1.1911,1070.7,9.7598e-05,0.5326,0.438,1512.2,0.6801,1028.5
4.5,2992325.84,2891.99,3.1073,2377,1.1917,1071.3,9.7634e-05,0.52799,0.4395,1512.3,0.6803,1028.8
4.5,3137115.8,2893.59,3.2563,2364.4,1.1923,1071.8,9.7669e-05,0.52367,0.441,1512.3,0.6805,1029.1
4.5,3281905.76,2895.1,3.4052,2352.6,1.1929,1072.2,9.7701e-05,0.5196,0.4424,1512.4,0.6806,1029.4
4.5,3426695.72,2896.52,3.5541,2341.5,1.1934,1072.7,9.7731e-05,0.51577,0.4437,1512.5,0.6808,1029.7
4.5,3571485.68,2897.86,3.703,2331,1.194,1073.1,9.776e-05,0.51215,0.4449,1512.5,0.6809,1029.9
4.75,96526.64,2735.38,0.10601,4295.8,1.14,1018.9,9.3998e-05,1.08476,0.3722,1496.5,0.6604,988.3
4.75,241316.6,2797.29,0.26049,3716.2,1.1496,1032,9.5338e-05,0.9029,0.3924,1504.1,0.6647,999.8
4.75,386106.56,2826.99,0.41341,3451.1,1.1549,1038.6,9.5978e-05,0.82069,0.4036,1507.2,0.667,1005.4
4.75,530896.52,2846.17,0.5655,3284.1,1.1587,1043,9.6391e-05,0.76927,0.4115,1509.1,0.6686,1009
4.75,675686.48,2860.13,0.71704,3164.6,1.1617,1046.3,9.669e-05,0.73262,0.4177,1510.4,0.6698,1011.7
4.75,820476.44,2871,0.86817,3072.7,1.1641,1048.9,9.6923e-05,0.70455,0.4227,1511.3,0.6708,1013.7
4.75,965266.4,2879.83,1.019,2998.8,1.1662,1051.1,9.7112e-05,0.68202,0.427,1512,0.6716,1015.4
4.75,1110056.36,2887.23,1.1695,2937.4,1.168,1052.9,9.7271e-05,0.66335,0.4307,1512.6,0.6723,1016.8
4.75,1254846.32,2893.56,1.3199,2885.2,1.1696,1054.5,9.7406e-05,0.6475,0.434,1513,0.6728,1018
4.75,1399636.28,2899.07,1.47,2840,1.171,1055.9,9.7524e-05,0.63381,0.437,1513.4,0.6734,1019.1
4.75,1544426.24,2903.94,1.62,2800.3,1.1723,1057.2,9.7628e-05,0.62179,0.4397,1513.8,0.6738,1020
4.75,1689216.2,2908.29,1.7699,2765.1,1.1735,1058.3,9.7721e-05,0.61113,0.4421,1514.1,0.6742,1020.8
4.75,1834006.16,2912.2,1.9196,2733.5,1.1745,1059.3,9.7804e-05,0.60157,0.4444,1514.3,0.6746,1021.6
4.75,1978796.12,2915.76,2.0692,2704.9,1.1755,1060.3,9.788e-05,0.59293,0.4465,1514.5,0.675,1022.3
4.75,2123586.08,2919.01,2.2187,2678.9,1.1765,1061.1,9.795e-05,0.58506,0.4485,1514.7,0.6753,1022.9
4.75,2268376.04,2922,2.3682,2655,1.1773,1061.9,9.8013e-05,0.57785,0.4503,1514.9,0.6756,1023.4
4.75,2413166,2924.77,2.5175,2633,1.1781,1062.7,9.8072e-05,0.57122,0.4521,1515.1,0.6758,1024
4.75,2557955.96,2927.33,2.6668,2612.7,1.1789,1063.4,9.8127e-05,0.56507,0.4537,1515.2,0.6761,1024.4
4.75,2702745.92,2929.73,2.816,2593.8,1.1796,1064,9.8178e-05,0.55937,0.4552,1515.4,0.6763,1024.9
4.75,2847535.88,2931.96,2.9651,2576.1,1.1803,1064.7,9.8226e-05,0.55404,0.4567,1515.5,0.6765,1025.3
4.75,2992325.84,2934.06,3.1142,2559.6,1.1809,1065.2,9.827e-05,0.54906,0.4581,1515.6,0.6768,1025.7
4.75,3137115.8,2936.04,3.2632,2544.1,1.1816,1065.8,9.8313e-05,0.54438,0.4594,1515.7,0.6769,1026.1
4.75,3281905.76,2937.91,3.4121,2529.5,1.1821,1066.3,9.8352e-05,0.53998,0.4607,1515.8,0.6771,1026.4
4.75,3426695.72,2939.67,3.561,2515.7,1.1827,1066.8,9.839e-05,0.53582,0.4619,1515.9,0.6773,1026.7
4.75,3571485.68,2941.35,3.7099,2502.7,1.1832,1067.3,9.8425e-05,0.53189,0.4631,1516,0.6775,1027.1
5,96526.64,2745.47,0.10701,4619.7,1.1347,1011.7,9.3988e-05,1.11426,0.3897,1492.8,0.6574,981.4
5,241316.6,2811.47,0.26269,4029.2,1.143,1024.7,9.5417e-05,0.93458,0.4114,1501.9,0.6611,992.9
5,386106.56,2843.75,0.41664,3753.8,1.1476,1031.2,9.6112e-05,0.85249,0.4232,1505.9,0.6632,998.7
5,530896.52,2864.86,0.56965,3577.9,1.1509,1035.7,9.6565e-05,0.80075,0.4315,1508.4,0.6646,1002.5
5,675686.48,2880.38,0.72202,3450.5,1.1535,1039,9.6898e-05,0.76365,0.4378,1510.1,0.6658,1005.4
5,820476.44,2892.57,0.87392,3351.6,1.1556,1041.6,9.7159e-05,0.73507,0.443,1511.3,0.6667,1007.6
5,965266.4,2902.54,1.0254,3271.3,1.1574,1043.8,9.7373e-05,0.71204,0.4474,1512.3,0.6675,1009.4
5,1110056.36,2910.95,1.1767,3204.1,1.159,1045.7,9.7553e-05,0.69287,0.4511,1513.1,0.6682,1011
5,1254846.32,2918.18,1.3276,3146.6,1.1604,1047.3,9.7707e-05,0.67654,0.4544,1513.8,0.6688,1012.3
5,1399636.28,2924.52,1.4784,3096.5,1.1617,1048.7,9.7842e-05,0.66238,0.4574,1514.3,0.6693,1013.5
5,1544426.24,2930.14,1.6289,3052.3,1.1629,1050,9.7962e-05,0.64992,0.4601,1514.8,0.6697,1014.6
5,1689216.2,2935.18,1.7793,3012.8,1.1639,1051.2,9.807e-05,0.63883,0.4625,1515.3,0.6702,1015.5
5,1834006.16,2939.73,1.9295,2977.2,1.1649,1052.2,9.8167e-05,0.62886,0.4648,1515.6,0.6706,1016.3
5,1978796.12,2943.89,2.0796,2944.9,1.1658,1053.2,9.8256e-05,0.61983,0.4668,1516,0.6709,1017.1
5,2123586.08,2947.7,2.2296,2915.3,1.1667,1054.1,9.8337e-05,0.61158,0.4687,1516.3,0.6713,1017.8
5,2268376.04,2951.21,2.3795,2888,1.1675,1055,9.8412e-05,0.60402,0.4705,1516.5,0.6716,1018.5
5,2413166,2954.47,2.5292,2862.9,1.1682,1055.8,9.8481e-05,0.59703,0.4722,1516.8,0.6719,1019.1
5,2557955.96,2957.51,2.6789,2839.5,1.1689,1056.5,9.8546e-05,0.59056,0.4738,1517,0.6721,1019.7
5,2702745.92,2960.35,2.8285,2817.7,1.1696,1057.2,9.8606e-05,0.58453,0.4753,1517.2,0.6724,1020.2
5,2847535.88,2963.01,2.978,2797.2,1.1703,1057.8,9.8663e-05,0.5789,0.4767,1517.4,0.6726,1020.7
5,2992325.84,2965.51,3.1274,2778.1,1.1709,1058.4,9.8716e-05,0.57362,0.4781,1517.6,0.6729,1021.1
5,3137115.8,2967.87,3.2767,2760,1.1715,1059,9.8766e-05,0.56865,0.4794,1517.8,0.6731,1021.6
5,3281905.76,2970.11,3.426,2743,1.172,1059.6,9.8814e-05,0.56397,0.4806,1517.9,0.6733,1022
