O_F,Pc,T_c,rho_c,Cp_c,gamma_c,a_c,mu_c,k_c,Pr_c,Cstar,CF,Isp
1.25,2702745.92,1491.99,3.5856,3106.3,1.267,977.3,7.268e-05,0.56965,0.3963,1318.8,0.6903,910.4
1.25,2847535.88,1494.45,3.7746,3131.2,1.2661,977.3,7.2724e-05,0.57196,0.3981,1319.7,0.6901,910.7
1.25,2992325.84,1496.84,3.9634,3155,1.2653,977.4,7.2767e-05,0.57418,0.3998,1320.5,0.6899,911
1.25,3137115.8,1499.15,4.1519,3177.8,1.2645,977.4,7.2808e-05,0.57631,0.4015,1321.3,0.6897,911.2
1.25,3281905.76,1501.4,4.3404,3199.6,1.2637,977.5,7.2848e-05,0.57835,0.403,1322,0.6895,911.5
1.25,3426695.72,1503.59,4.5286,3220.4,1.263,977.6,7.2887e-05,0.58032,0.4045,1322.7,0.6893,911.8
1.25,3571485.68,1505.73,4.7166,3240.5,1.2623,977.7,7.2924e-05,0.58221,0.4059,1323.4,0.6892,912
1.5,96526.64,1508.72,0.12778,2054.6,1.3229,999.7,7.2547e-05,0.46065,0.3236,1293,0.7186,929.2
1.5,241316.6,1509.63,0.31935,2074.9,1.3215,999.3,7.2566e-05,0.46224,0.3257,1295,0.7156,926.8
1.5,386106.56,1511.1,0.51069,2107.8,1.3192,998.7,7.2597e-05,0.46533,0.3288,1297.4,0.7128,924.8
1.5,530896.52,1512.96,0.70174,2147,1.3165,998,7.2636e-05,0.46909,0.3325,1299.8,0.7105,923.5
1.5,675686.48,1515.08,0.89245,2188.4,1.3137,997.3,7.2681e-05,0.47306,0.3362,1301.9,0.7087,922.6
1.5,820476.44,1517.35,1.0828,2229.6,1.3111,996.7,7.2729e-05,0.47703,0.3399,1303.9,0.7072,922.1
1.5,965266.4,1519.69,1.2729,2269.5,1.3086,996.2,7.2778e-05,0.48088,0.3435,1305.6,0.706,921.8
1.5,1110056.36,1522.06,1.4625,2307.7,1.3063,995.7,7.2828e-05,0.48456,0.3468,1307.3,0.7049,921.5
1.5,1254846.32,1524.43,1.6519,2344.1,1.3042,995.3,7.2878e-05,0.48807,0.35,1308.8,0.7041,921.4
1.5,1399636.28,1526.79,1.841,2378.5,1.3022,995,7.2928e-05,0.49141,0.353,1310.1,0.7033,921.4
1.5,1544426.24,1529.11,2.0298,2411.3,1.3005,994.7,7.2977e-05,0.49459,0.3558,1311.4,0.7026,921.4
1.5,1689216.2,1531.39,2.2183,2442.4,1.2988,994.5,7.3025e-05,0.49762,0.3584,1312.6,0.702,921.5
1.5,1834006.16,1533.63,2.4066,2471.9,1.2972,994.3,7.3072e-05,0.50051,0.3609,1313.8,0.7014,921.5
1.5,1978796.12,1535.82,2.5946,2500.1,1.2958,994.1,7.3118e-05,0.50327,0.3632,1314.8,0.7009,921.6
1.5,2123586.08,1537.98,2.7824,2527,1.2945,994,7.3163e-05,0.50592,0.3654,1315.9,0.7005,921.8
1.5,2268376.04,1540.08,2.9699,2552.7,1.2932,993.9,7.3207e-05,0.50846,0.3675,1316.8,0.7001,921.9
1.5,2413166,1542.14,3.1572,2577.2,1.2921,993.8,7.325e-05,0.5109,0.3695,1317.7,0.6997,922
1.5,2557955.96,1544.16,3.3444,2600.8,1.2909,993.7,7.3292e-05,0.51324,0.3714,1318.6,0.6994,922.2
1.5,2702745.92,1546.13,3.5313,2623.4,1.2899,993.6,7.3333e-05,0.51551,0.3732,1319.4,0.699,922.3
1.5,2847535.88,1548.07,3.718,2645.2,1.2889,993.6,7.3373e-05,0.51769,0.3749,1320.2,0.6987,922.5
1.5,2992325.84,1549.96,3.9045,2666.1,1.288,993.5,7.3412e-05,0.5198,0.3765,1321,0.6985,922.7
1.5,3137115.8,1551.81,4.0909,2686.2,1.2871,993.5,7.345e-05,0.52183,0.3781,1321.7,0.6982,922.8
1.5,3281905.76,1553.63,4.2771,2705.6,1.2863,993.5,7.3488e-05,0.52381,0.3796,1322.5,0.698,923
1.5,3426695.72,1555.41,4.4631,2724.4,1.2855,993.5,7.3525e-05,0.52572,0.381,1323.1,0.6977,923.2
1.5,3571485.68,1557.16,4.6489,2742.5,1.2847,993.5,7.3561e-05,0.52757,0.3824,1323.8,0.6975,923.4
1.75,96526.64,1712.33,0.11933,2029.7,1.304,1027.1,7.7012e-05,0.46302,0.3376,1344.6,0.7132,958.9
1.75,241316.6,1712.6,0.29828,2025.3,1.3046,1027.4,7.702e-05,0.45994,0.3391,1344.6,0.7132,959
1.75,386106.56,1712.71,0.47722,2024,1.3049,1027.5,7.7022e-05,0.45886,0.3397,1344.6,0.7132,959
1.75,530896.52,1712.8,0.65616,2023.6,1.305,1027.5,7.7024e-05,0.45828,0.3401,1344.7,0.7131,958.9
1.75,675686.48,1712.87,0.83509,2023.6,1.305,1027.6,7.7026e-05,0.45793,0.3404,1344.7,0.7131,958.9
1.75,820476.44,1712.94,1.014,2023.9,1.305,1027.6,7.7027e-05,0.45771,0.3406,1344.8,0.713,958.8
1.75,965266.4,1713.02,1.1929,2024.5,1.305,1027.6,7.7028e-05,0.45758,0.3408,1344.8,0.7129,958.8
1.75,1110056.36,1713.09,1.3719,2025.2,1.305,1027.6,7.703e-05,0.4575,0.341,1344.9,0.7128,958.7
1.75,1254846.32,1713.17,1.5508,2026.2,1.305,1027.6,7.7031e-05,0.45747,0.3412,1345,0.7127,958.6
1.75,1399636.28,1713.26,1.7297,2027.3,1.3049,1027.6,7.7033e-05,0.45748,0.3414,1345,0.7126,958.5
1.75,1544426.24,1713.35,1.9086,2028.6,1.3049,1027.6,7.7034e-05,0.45752,0.3416,1345.1,0.7125,958.4
1.75,1689216.2,1713.45,2.0875,2030,1.3048,1027.5,7.7036e-05,0.45758,0.3418,1345.2,0.7124,958.3
1.75,1834006.16,1713.55,2.2663,2031.6,1.3047,1027.5,7.7038e-05,0.45768,0.342,1345.3,0.7122,958.2
1.75,1978796.12,1713.66,2.4452,2033.3,1.3046,1027.5,7.704e-05,0.45779,0.3422,1345.5,0.7121,958.1
1.75,2123586.08,1713.78,2.624,2035.2,1.3045,1027.5,7.7042e-05,0.45793,0.3424,1345.6,0.7119,957.9
1.75,2268376.04,1713.9,2.8029,2037.1,1.3044,1027.5,7.7044e-05,0.45808,0.3426,1345.7,0.7118,957.8
1.75,2413166,1714.03,2.9817,2039.2,1.3043,1027.4,7.7046e-05,0.45826,0.3429,1345.8,0.7116,957.7
1.75,2557955.96,1714.16,3.1605,2041.5,1.3042,1027.4,7.7049e-05,0.45845,0.3431,1346,0.7114,957.5
1.75,2702745.92,1714.3,3.3393,2043.8,1.3041,1027.4,7.7051e-05,0.45866,0.3433,1346.1,0.7112,957.4
1.75,2847535.88,1714.44,3.518,2046.3,1.304,1027.3,7.7054e-05,0.45888,0.3436,1346.3,0.711,957.3
1.75,2992325.84,1714.6,3.6968,2048.9,1.3038,1027.3,7.7056e-05,0.45912,0.3439,1346.4,0.7109,957.1
1.75,3137115.8,1714.75,3.8755,2051.6,1.3037,1027.3,7.7059e-05,0.45937,0.3442,1346.6,0.7107,957
1.75,3281905.76,1714.92,4.0542,2054.4,1.3035,1027.2,7.7062e-05,0.45964,0.3444,1346.8,0.7105,956.8
1.75,3426695.72,1715.08,4.2329,2057.3,1.3034,1027.2,7.7065e-05,0.45992,0.3447,1346.9,0.7103,956.7
1.75,3571485.68,1715.26,4.4116,2060.3,1.3032,1027.2,7.7068e-05,0.46021,0.345,1347.1,0.7101,956.6
2,96526.64,1889.48,0.11381,2023.1,1.2873,1044.9,8.0562e-05,0.47264,0.3448,1382.7,0.7084,979.5
2,241316.6,1890.49,0.2844,2007.9,1.2893,1045.9,8.0589e-05,0.46186,0.3504,1382.6,0.7086,979.7
2,386106.56,1890.86,0.45496,2002.4,1.29,1046.3,8.0598e-05,0.45793,0.3524,1382.6,0.7087,979.8
2,530896.52,1891.07,0.62552,1999.4,1.2904,1046.5,8.0604e-05,0.45574,0.3536,1382.5,0.7087,979.8
2,675686.48,1891.22,0.79607,1997.4,1.2907,1046.7,8.0608e-05,0.4543,0.3544,1382.5,0.7087,979.9
2,820476.44,1891.32,0.96662,1996,1.2909,1046.8,8.061e-05,0.45326,0.355,1382.5,0.7087,979.9
2,965266.4,1891.41,1.1372,1995,1.291,1046.8,8.0612e-05,0.45247,0.3554,1382.5,0.7088,979.9
2,1110056.36,1891.48,1.3077,1994.2,1.2911,1046.9,8.0614e-05,0.45183,0.3558,1382.5,0.7088,979.9
2,1254846.32,1891.54,1.4782,1993.5,1.2912,1046.9,8.0615e-05,0.45131,0.3561,1382.5,0.7088,979.9
2,1399636.28,1891.59,1.6488,1993,1.2913,1047,8.0617e-05,0.45088,0.3563,1382.5,0.7088,979.9
2,1544426.24,1891.64,1.8193,1992.6,1.2913,1047,8.0618e-05,0.45051,0.3566,1382.5,0.7088,979.9
2,1689216.2,1891.68,1.9898,1992.3,1.2914,1047,8.0619e-05,0.45019,0.3568,1382.5,0.7088,979.9
2,1834006.16,1891.72,2.1604,1992,1.2914,1047.1,8.0619e-05,0.44991,0.3569,1382.5,0.7088,979.9
2,1978796.12,1891.76,2.3309,1991.8,1.2915,1047.1,8.062e-05,0.44967,0.3571,1382.5,0.7088,979.9
2,2123586.08,1891.8,2.5014,1991.6,1.2915,1047.1,8.0621e-05,0.44945,0.3572,1382.5,0.7088,979.9
2,2268376.04,1891.83,2.672,1991.5,1.2915,1047.1,8.0621e-05,0.44926,0.3574,1382.6,0.7088,979.9
2,2413166,1891.86,2.8425,1991.4,1.2916,1047.1,8.0622e-05,0.44908,0.3575,1382.6,0.7087,979.9
2,2557955.96,1891.89,3.013,1991.3,1.2916,1047.1,8.0623e-05,0.44892,0.3576,1382.6,0.7087,979.9
2,2702745.92,1891.93,3.1836,1991.3,1.2916,1047.2,8.0623e-05,0.44878,0.3577,1382.6,0.7087,979.9
2,2847535.88,1891.96,3.3541,1991.2,1.2916,1047.2,8.0624e-05,0.44865,0.3578,1382.6,0.7087,979.9
